image,PSNR_dB,SSIM,LPIPS
000233,23.01844277765546,0.6897528388194535,0.2941716611385345
000234,23.23754021149263,0.6961041525053066,0.3051944077014923
000235,23.14794313742197,0.695426495698724,0.2985478639602661
000236,28.33137149370712,0.7969833803125471,0.2384624481201172
000237,26.158655651085013,0.7907097982841619,0.2050428986549377
000238,26.499670153999404,0.7740700855660829,0.1912431716918945
000239,27.440497120900773,0.7935387852410414,0.2130153179168701
000240,23.218424578947776,0.8429764788805395,0.2366194427013397
000241,34.6575723139699,0.9577804209463447,0.0600883141160011
000242,35.07303245582929,0.9556968670358658,0.0583107247948646
000243,35.553384233558845,0.9657841812144518,0.0397926345467567
000244,19.635095709175875,0.6993582481516628,0.1880785673856735
000245,27.59919054640552,0.9176760528942196,0.2337157279253006
000246,26.11257249240612,0.912953495934695,0.1860277950763702
000247,26.725406858645343,0.9164569297557844,0.2073025554418563
000248,28.19635080222541,0.8298284125826806,0.1658550202846527
000249,22.518764680387847,0.776908312187165,0.1824749112129211
000250,21.53280477588432,0.7480945010335446,0.203646034002304
000251,22.68205628717622,0.7772511844007969,0.1792000085115432
000252,28.04240193686313,0.7566414501151638,0.3221309185028076
000253,29.6415836998898,0.8490071874625282,0.259343534708023
000254,28.932320868305613,0.8130416901149005,0.2945682108402252
000255,29.96064695761677,0.8506204517161352,0.2604097425937652
000256,23.94021698274858,0.7926168249387445,0.2024637162685394
000257,20.407058699525138,0.723803468786797,0.1741550117731094
000258,21.046652837310816,0.7532139615250484,0.18060964345932
000259,21.27984040922201,0.7696602147120685,0.1854281574487686
000260,25.06971645389408,0.7375895146984197,0.2000144720077514
000261,28.66371137427284,0.8316736475702178,0.194954514503479
000262,27.61192299127193,0.8338130972363271,0.1729596257209777
000263,27.82440920259312,0.8124046136120171,0.1691694557666778
000264,23.867381225494984,0.7659330464495941,0.277704119682312
000265,32.22313388218092,0.8614555977963507,0.1981902420520782
000266,32.12025946373001,0.8580569127624631,0.1919306367635727
000267,31.214852198111004,0.8478028796818666,0.1793186068534851
000268,33.22611481140673,0.8691692261084225,0.1816039234399795
000269,26.380930706972503,0.8069552608032227,0.2316739112138748
000270,26.882056193780123,0.8280712735086679,0.2087570428848266
000271,26.75620163445016,0.8224715633723587,0.204344630241394
000272,20.166220448988295,0.7306305849846602,0.242250457406044
000273,24.60996889336212,0.3498734048175306,0.3355917036533355
000274,24.083357359260518,0.3322879941189968,0.3431827425956726
000275,24.928124911524197,0.369750088992802,0.3339732587337494
000276,36.93179526273916,0.965019127419114,0.0586251989006996
000277,35.54634947766654,0.9500749523968696,0.0571779459714889
000278,33.516197421389855,0.9256475085172652,0.0620432794094085
000279,33.72255536294794,0.9231094890205414,0.0906997993588447
000280,21.515186960080488,0.7355298109617038,0.2841050326824188
000281,25.40827999611945,0.8336355945949229,0.2154305130243301
000282,26.071853126000075,0.8357483414320466,0.216805100440979
000283,25.43661927913434,0.8449208709561881,0.2327527403831482
000284,22.673506935098334,0.6862087620618288,0.2985552549362182
000285,30.248234398751343,0.7833105311004259,0.3426642417907715
000286,29.872613084805067,0.776916791866973,0.3321228623390198
000287,31.31739368608233,0.7578677436045707,0.2600913047790527
000288,27.359078089644303,0.8257618313175141,0.2012955546379089
000289,24.734862132448026,0.6749107473702505,0.2435864508152008
000290,22.685405678587596,0.6719006363929553,0.2446690052747726
000291,23.20841485562174,0.6842839907040642,0.2248059809207916
000292,31.90682602173062,0.9374786812320948,0.1053106263279914
000293,26.070816852172086,0.3818998168931603,0.4009358882904053
000294,25.78243980022128,0.3741869739025049,0.3383997976779938
